country,year,variable,value
Algeria,2010,Population mid-year estimates for females (millions),17.89
Algeria,2010,Sex ratio (males per 100 females),101.9
Algeria,2010,Population aged 0 to 14 years old (percentage),27.2
Algeria,2010,Population aged 60+ years old (percentage),7.8
Algeria,2010,Population density,15.2
Algeria,2015,Population mid-year estimates (millions),39.87
Algeria,2015,Population mid-year estimates for males (millions),20.13
Algeria,2015,Population mid-year estimates for females (millions),19.74
Algeria,2015,Sex ratio (males per 100 females),102
Algeria,2015,Population aged 0 to 14 years old (percentage),28.7
Algeria,2015,Population aged 60+ years old (percentage),8.9
Algeria,2015,Population density,16.7
Algeria,2015,Surface area (thousand km2),"2,382"
Algeria,2018,Population mid-year estimates (millions),42.01
Algeria,2018,Population mid-year estimates for males (millions),21.22
Algeria,2018,Population mid-year estimates for females (millions),20.79
Algeria,2018,Sex ratio (males per 100 females),102
Algeria,2018,Population aged 0 to 14 years old (percentage),29.5
Algeria,2018,Population aged 60+ years old (percentage),9.6
Algeria,2018,Population density,17.6
American Samoa,2000,Population mid-year estimates (millions),0.06
American Samoa,2000,Sex ratio (males per 100 females),104.4
American Samoa,2000,Population aged 0 to 14 years old (percentage),38.8
American Samoa,2000,Population aged 60+ years old (percentage),5.4
American Samoa,2000,Population density,287.6
American Samoa,2005,Population mid-year estimates (millions),0.06
American Samoa,2005,Population density,295.6
American Samoa,2010,Population mid-year estimates (millions),0.06
American Samoa,2010,Sex ratio (males per 100 females),103
American Samoa,2010,Population aged 0 to 14 years old (percentage),35
American Samoa,2010,Population aged 60+ years old (percentage),6.7
American Samoa,2010,Population density,278.2
American Samoa,2015,Population mid-year estimates (millions),0.06
American Samoa,2015,Population density,277.7
American Samoa,2015,Surface area (thousand km2),0
American Samoa,2016,Population mid-year estimates (millions),0.06
American Samoa,2016,Sex ratio (males per 100 females),103.6
American Samoa,2016,Population aged 0 to 14 years old (percentage),33.3
American Samoa,2016,Population aged 60+ years old (percentage),9
American Samoa,2016,Population density,278
American Samoa,2018,Population mid-year estimates (millions),0.06
American Samoa,2018,Population density,278.4
Andorra,2005,Population mid-year estimates (millions),0.08
Andorra,2005,Sex ratio (males per 100 females),109
Andorra,2005,Population aged 0 to 14 years old (percentage),15.1
Andorra,2005,Population aged 60+ years old (percentage),16.1
Andorra,2005,Population density,167.8
Andorra,2010,Population mid-year estimates (millions),0.08
Andorra,2010,Sex ratio (males per 100 females),108.5
Andorra,2010,Population aged 0 to 14 years old (percentage),14
Andorra,2010,Population aged 60+ years old (percentage),18.6
Andorra,2010,Population density,179.7
Andorra,2015,Population mid-year estimates (millions),0.08
Andorra,2015,Sex ratio (males per 100 females),101.7
Andorra,2015,Population density,166
Andorra,2015,Surface area (thousand km2),0
Andorra,2016,Population mid-year estimates (millions),0.08
Andorra,2016,Sex ratio (males per 100 females),102.3
Andorra,2016,Population aged 0 to 14 years old (percentage),14.4
Andorra,2016,Population aged 60+ years old (percentage),19
Andorra,2016,Population density,164.4
Andorra,2018,Population mid-year estimates (millions),0.08
Andorra,2018,Population density,163.7
Angola,2005,Population mid-year estimates (millions),19.55
Angola,2005,Population mid-year estimates for males (millions),9.56
Angola,2005,Population mid-year estimates for females (millions),10
Angola,2005,Sex ratio (males per 100 females),95.6
Angola,2005,Population aged 0 to 14 years old (percentage),47.2
Angola,2005,Population aged 60+ years old (percentage),3.7
Angola,2005,Population density,15.7
Angola,2010,Population mid-year estimates (millions),23.37
Angola,2010,Population mid-year estimates for males (millions),11.43
Angola,2010,Population mid-year estimates for females (millions),11.94
Angola,2010,Sex ratio (males per 100 females),95.8
Angola,2010,Population aged 0 to 14 years old (percentage),47.3
Angola,2010,Population aged 60+ years old (percentage),3.6
Angola,2010,Population density,18.7
Angola,2015,Population mid-year estimates (millions),27.86
Angola,2015,Population mid-year estimates for males (millions),13.65
Angola,2015,Population mid-year estimates for females (millions),14.21
Angola,2015,Sex ratio (males per 100 females),96.1
Angola,2015,Population aged 0 to 14 years old (percentage),47.1
Angola,2015,Population aged 60+ years old (percentage),3.9
Angola,2015,Population density,22.3
Angola,2015,Surface area (thousand km2),"1,247"
Angola,2018,Population mid-year estimates (millions),30.77
Angola,2018,Population mid-year estimates for males (millions),15.09
Angola,2018,Population mid-year estimates for females (millions),15.68
Angola,2018,Sex ratio (males per 100 females),96.3
Angola,2018,Population aged 0 to 14 years old (percentage),46.6
Angola,2018,Population aged 60+ years old (percentage),4.1
Angola,2018,Population density,24.7
Anguilla,2001,Population mid-year estimates (millions),0.01
Anguilla,2001,Sex ratio (males per 100 females),97.3
Anguilla,2001,Population aged 0 to 14 years old (percentage),27.7
Anguilla,2001,Population aged 60+ years old (percentage),10.2
Anguilla,2001,Population density,126.4
Anguilla,2005,Population mid-year estimates (millions),0.01
Anguilla,2005,Population density,140.4
Anguilla,2010,Population mid-year estimates (millions),0.01
Anguilla,2010,Population density,153
Anguilla,2011,Population mid-year estimates (millions),0.01
Anguilla,2011,Sex ratio (males per 100 females),97.6
Anguilla,2011,Population aged 0 to 14 years old (percentage),23.3
Anguilla,2011,Population aged 60+ years old (percentage),7.6
Anguilla,2011,Population density,155
Anguilla,2015,Population mid-year estimates (millions),0.01
Anguilla,2015,Population density,162.3
Anguilla,2015,Surface area (thousand km2),0
Anguilla,2018,Population mid-year estimates (millions),0.02
Anguilla,2018,Population density,167.2
Antigua and Barbuda,2005,Population mid-year estimates (millions),0.09
Antigua and Barbuda,2005,Population mid-year estimates for males (millions),0.04
Antigua and Barbuda,2005,Population mid-year estimates for females (millions),0.05
Antigua and Barbuda,2005,Sex ratio (males per 100 females),92.1
Antigua and Barbuda,2005,Population aged 0 to 14 years old (percentage),28.4
Antigua and Barbuda,2005,Population aged 60+ years old (percentage),9.3
Antigua and Barbuda,2005,Population density,202.8
Antigua and Barbuda,2010,Population mid-year estimates (millions),0.09
Antigua and Barbuda,2010,Population mid-year estimates for males (millions),0.05
Antigua and Barbuda,2010,Population mid-year estimates for females (millions),0.05
Antigua and Barbuda,2010,Sex ratio (males per 100 females),92
Antigua and Barbuda,2010,Population aged 0 to 14 years old (percentage),26.6
Antigua and Barbuda,2010,Population aged 60+ years old (percentage),8.9
Antigua and Barbuda,2010,Population density,215.1
Antigua and Barbuda,2015,Population mid-year estimates (millions),0.1
Antigua and Barbuda,2015,Population mid-year estimates for males (millions),0.05
Antigua and Barbuda,2015,Population mid-year estimates for females (millions),0.05
Antigua and Barbuda,2015,Sex ratio (males per 100 females),92.2
Antigua and Barbuda,2015,Population aged 0 to 14 years old (percentage),24.6
Antigua and Barbuda,2015,Population aged 60+ years old (percentage),10.1
Antigua and Barbuda,2015,Population density,227.1
Antigua and Barbuda,2015,Surface area (thousand km2),0
Antigua and Barbuda,2018,Population mid-year estimates (millions),0.1
Antigua and Barbuda,2018,Population mid-year estimates for males (millions),0.05
Antigua and Barbuda,2018,Population mid-year estimates for females (millions),0.05
Antigua and Barbuda,2018,Sex ratio (males per 100 females),92.3
Antigua and Barbuda,2018,Population aged 0 to 14 years old (percentage),23.6
Antigua and Barbuda,2018,Population aged 60+ years old (percentage),11.3
Antigua and Barbuda,2018,Population density,234.2
Argentina,2005,Population mid-year estimates (millions),39.15
Argentina,2005,Population mid-year estimates for males (millions),19.15
Argentina,2005,Population mid-year estimates for females (millions),20
Argentina,2005,Sex ratio (males per 100 females),95.8
Argentina,2005,Population aged 0 to 14 years old (percentage),26.9
Argentina,2005,Population aged 60+ years old (percentage),13.8
Argentina,2005,Population density,14.3
Argentina,2010,Population mid-year estimates (millions),41.22
Argentina,2010,Population mid-year estimates for males (millions),20.16
Argentina,2010,Population mid-year estimates for females (millions),21.06
Argentina,2010,Sex ratio (males per 100 females),95.7
Argentina,2010,Population aged 0 to 14 years old (percentage),25.9
Argentina,2010,Population aged 60+ years old (percentage),14.4
Argentina,2010,Population density,15.1
Argentina,2015,Population mid-year estimates (millions),43.42
Argentina,2015,Population mid-year estimates for males (millions),21.25
Argentina,2015,Population mid-year estimates for females (millions),22.17
Argentina,2015,Sex ratio (males per 100 females),95.8
Argentina,2015,Population aged 0 to 14 years old (percentage),25.2
Argentina,2015,Population aged 60+ years old (percentage),15.1
Argentina,2015,Population density,15.9
Argentina,2015,Surface area (thousand km2),"2,780"
Argentina,2018,Population mid-year estimates (millions),44.69
Argentina,2018,Population mid-year estimates for males (millions),21.88
Argentina,2018,Population mid-year estimates for females (millions),22.81
Argentina,2018,Sex ratio (males per 100 females),95.9
Argentina,2018,Population aged 0 to 14 years old (percentage),24.7
Argentina,2018,Population aged 60+ years old (percentage),15.6
Argentina,2018,Population density,16.3
Armenia,2005,Population mid-year estimates (millions),2.98
Armenia,2005,Population mid-year estimates for males (millions),1.4
Armenia,2005,Population mid-year estimates for females (millions),1.58
Armenia,2005,Sex ratio (males per 100 females),88.8
Armenia,2005,Population aged 0 to 14 years old (percentage),21.5
Armenia,2005,Population aged 60+ years old (percentage),14.4
Armenia,2005,Population density,104.7
Armenia,2010,Population mid-year estimates (millions),2.88
Armenia,2010,Population mid-year estimates for males (millions),1.35
Armenia,2010,Population mid-year estimates for females (millions),1.53
Armenia,2010,Sex ratio (males per 100 females),87.9
Armenia,2010,Population aged 0 to 14 years old (percentage),19.5
Armenia,2010,Population aged 60+ years old (percentage),14.8
Armenia,2010,Population density,101.1
Armenia,2015,Population mid-year estimates (millions),2.92
Armenia,2015,Population mid-year estimates for males (millions),1.37
Armenia,2015,Population mid-year estimates for females (millions),1.55
Armenia,2015,Sex ratio (males per 100 females),88.7
Armenia,2015,Population aged 0 to 14 years old (percentage),19.8
Armenia,2015,Population aged 60+ years old (percentage),15.8
Armenia,2015,Population density,102.5
Armenia,2015,Surface area (thousand km2),30
Armenia,2018,Population mid-year estimates (millions),2.93
Armenia,2018,Population mid-year estimates for males (millions),1.38
Armenia,2018,Population mid-year estimates for females (millions),1.55
Armenia,2018,Sex ratio (males per 100 females),88.8
Armenia,2018,Population aged 0 to 14 years old (percentage),20.1
Armenia,2018,Population aged 60+ years old (percentage),17.5
Armenia,2018,Population density,103.1
Aruba,2005,Population mid-year estimates (millions),0.1
Aruba,2005,Population mid-year estimates for males (millions),0.05
Aruba,2005,Population mid-year estimates for females (millions),0.05
Aruba,2005,Sex ratio (males per 100 females),90.7
Aruba,2005,Population aged 0 to 14 years old (percentage),21.5
Aruba,2005,Population aged 60+ years old (percentage),12.6
Aruba,2005,Population density,555.7
Aruba,2010,Population mid-year estimates (millions),0.1
Aruba,2010,Population mid-year estimates for males (millions),0.05
Aruba,2010,Population mid-year estimates for females (millions),0.05
Aruba,2010,Sex ratio (males per 100 females),91.1
Aruba,2010,Population aged 0 to 14 years old (percentage),20.9
Aruba,2010,Population aged 60+ years old (percentage),15.5
Aruba,2010,Population density,564.8
Aruba,2015,Population mid-year estimates (millions),0.1
Aruba,2015,Population mid-year estimates for males (millions),0.05
Aruba,2015,Population mid-year estimates for females (millions),0.05
Aruba,2015,Sex ratio (males per 100 females),90.6
Aruba,2015,Population aged 0 to 14 years old (percentage),18.7
Aruba,2015,Population aged 60+ years old (percentage),18.4
Aruba,2015,Population density,579.7
Aruba,2015,Surface area (thousand km2),0
Aruba,2018,Population mid-year estimates (millions),0.11
Aruba,2018,Population mid-year estimates for males (millions),0.05
Aruba,2018,Population mid-year estimates for females (millions),0.06
Aruba,2018,Sex ratio (males per 100 females),90.3
Aruba,2018,Population aged 0 to 14 years old (percentage),17.7
Aruba,2018,Population aged 60+ years old (percentage),20.4
Aruba,2018,Population density,587.1
Australia,2005,Population mid-year estimates (millions),20.24
Australia,2005,Population mid-year estimates for males (millions),10.1
Australia,2005,Population mid-year estimates for females (millions),10.14
Australia,2005,Sex ratio (males per 100 females),99.6
Australia,2005,Population aged 0 to 14 years old (percentage),19.8
Australia,2005,Population aged 60+ years old (percentage),17.4
Australia,2005,Population density,2.6
Australia,2010,Population mid-year estimates (millions),22.12
Australia,2010,Population mid-year estimates for males (millions),11.06
Australia,2010,Population mid-year estimates for females (millions),11.06
Australia,2010,Sex ratio (males per 100 females),100
Australia,2010,Population aged 0 to 14 years old (percentage),19
Australia,2010,Population aged 60+ years old (percentage),18.9
Australia,2010,Population density,2.9
Australia,2015,Population mid-year estimates (millions),23.8
Australia,2015,Population mid-year estimates for males (millions),11.86
Australia,2015,Population mid-year estimates for females (millions),11.94
Australia,2015,Sex ratio (males per 100 females),99.4
Australia,2015,Population aged 0 to 14 years old (percentage),18.8
Australia,2015,Population aged 60+ years old (percentage),20.4
Australia,2015,Population density,3.1
Australia,2015,Surface area (thousand km2),"7,692"
Australia,2018,Population mid-year estimates (millions),24.77
Australia,2018,Population mid-year estimates for males (millions),12.34
Australia,2018,Population mid-year estimates for females (millions),12.43
Australia,2018,Sex ratio (males per 100 females),99.3
Australia,2018,Population aged 0 to 14 years old (percentage),19.1
Australia,2018,Population aged 60+ years old (percentage),21.2
Australia,2018,Population density,3.2
Austria,2005,Population mid-year estimates (millions),8.25
Austria,2005,Population mid-year estimates for males (millions),4.01
Austria,2005,Population mid-year estimates for females (millions),4.24
Austria,2005,Sex ratio (males per 100 females),94.6
Austria,2005,Population aged 0 to 14 years old (percentage),16
Austria,2005,Population aged 60+ years old (percentage),22.1
Austria,2005,Population density,100.2
Austria,2010,Population mid-year estimates (millions),8.41
Austria,2010,Population mid-year estimates for males (millions),4.1
Austria,2010,Population mid-year estimates for females (millions),4.31
Austria,2010,Sex ratio (males per 100 females),95.1
Austria,2010,Population aged 0 to 14 years old (percentage),14.7
Austria,2010,Population aged 60+ years old (percentage),23.3
Austria,2010,Population density,102.1
Austria,2015,Population mid-year estimates (millions),8.68
Austria,2015,Population mid-year estimates for males (millions),4.25
Austria,2015,Population mid-year estimates for females (millions),4.43
Austria,2015,Sex ratio (males per 100 females),95.9
Austria,2015,Population aged 0 to 14 years old (percentage),14.1
Austria,2015,Population aged 60+ years old (percentage),24.3
Austria,2015,Population density,105.3
Austria,2015,Surface area (thousand km2),84
Austria,2018,Population mid-year estimates (millions),8.75
Austria,2018,Population mid-year estimates for males (millions),4.29
Austria,2018,Population mid-year estimates for females (millions),4.46
Austria,2018,Sex ratio (males per 100 females),96.3
Austria,2018,Population aged 0 to 14 years old (percentage),14.1
Austria,2018,Population aged 60+ years old (percentage),25.5
Austria,2018,Population density,106.2
Azerbaijan,2005,Population mid-year estimates (millions),8.54
Azerbaijan,2005,Population mid-year estimates for males (millions),4.21
Azerbaijan,2005,Population mid-year estimates for females (millions),4.33
Azerbaijan,2005,Sex ratio (males per 100 females),97.1
Azerbaijan,2005,Population aged 0 to 14 years old (percentage),26.2
Azerbaijan,2005,Population aged 60+ years old (percentage),8.5
Azerbaijan,2005,Population density,103.3
Azerbaijan,2010,Population mid-year estimates (millions),9.03
Azerbaijan,2010,Population mid-year estimates for males (millions),4.48
Azerbaijan,2010,Population mid-year estimates for females (millions),4.56
Azerbaijan,2010,Sex ratio (males per 100 females),98.2
Azerbaijan,2010,Population aged 0 to 14 years old (percentage),22.8
Azerbaijan,2010,Population aged 60+ years old (percentage),8.1
Azerbaijan,2010,Population density,109.3
Azerbaijan,2015,Population mid-year estimates (millions),9.62
Azerbaijan,2015,Population mid-year estimates for males (millions),4.79
Azerbaijan,2015,Population mid-year estimates for females (millions),4.83
Azerbaijan,2015,Sex ratio (males per 100 females),99.1
Azerbaijan,2015,Population aged 0 to 14 years old (percentage),22.9
Azerbaijan,2015,Population aged 60+ years old (percentage),9.3
Azerbaijan,2015,Population density,116.4
Azerbaijan,2015,Surface area (thousand km2),87
Azerbaijan,2018,Population mid-year estimates (millions),9.92
Azerbaijan,2018,Population mid-year estimates for males (millions),4.94
Azerbaijan,2018,Population mid-year estimates for females (millions),4.98
Azerbaijan,2018,Sex ratio (males per 100 females),99.3
Azerbaijan,2018,Population aged 0 to 14 years old (percentage),23.3
Azerbaijan,2018,Population aged 60+ years old (percentage),10.6
Azerbaijan,2018,Population density,120.1
Bahamas,2005,Population mid-year estimates (millions),0.33
Bahamas,2005,Population mid-year estimates for males (millions),0.16
Bahamas,2005,Population mid-year estimates for females (millions),0.17
Bahamas,2005,Sex ratio (males per 100 females),95.4
Bahamas,2005,Population aged 0 to 14 years old (percentage),25.6
Bahamas,2005,Population aged 60+ years old (percentage),9.4
Bahamas,2005,Population density,32.9
Bahamas,2010,Population mid-year estimates (millions),0.36
Bahamas,2010,Population mid-year estimates for males (millions),0.18
Bahamas,2010,Population mid-year estimates for females (millions),0.18
Bahamas,2010,Sex ratio (males per 100 females),95.6
Bahamas,2010,Population aged 0 to 14 years old (percentage),22.5
Bahamas,2010,Population aged 60+ years old (percentage),10.5
Bahamas,2010,Population density,36
Bahamas,2015,Population mid-year estimates (millions),0.39
Bahamas,2015,Population mid-year estimates for males (millions),0.19
Bahamas,2015,Population mid-year estimates for females (millions),0.2
Bahamas,2015,Sex ratio (males per 100 females),95.9
Bahamas,2015,Population aged 0 to 14 years old (percentage),20.7
Bahamas,2015,Population aged 60+ years old (percentage),12.6
Bahamas,2015,Population density,38.6
Bahamas,2015,Surface area (thousand km2),14
Bahamas,2018,Population mid-year estimates (millions),0.4
Bahamas,2018,Population mid-year estimates for males (millions),0.2
Bahamas,2018,Population mid-year estimates for females (millions),0.2
Bahamas,2018,Sex ratio (males per 100 females),96
Bahamas,2018,Population aged 0 to 14 years old (percentage),20.5
Bahamas,2018,Population aged 60+ years old (percentage),14
Bahamas,2018,Population density,39.9
Bahrain,2005,Population mid-year estimates (millions),0.89
Bahrain,2005,Population mid-year estimates for males (millions),0.53
Bahrain,2005,Population mid-year estimates for females (millions),0.36
Bahrain,2005,Sex ratio (males per 100 females),150.5
Bahrain,2005,Population aged 0 to 14 years old (percentage),25.7
Bahrain,2005,Population aged 60+ years old (percentage),3.4
Bahrain,2005,Population density,"1,170.00"
Bahrain,2010,Population mid-year estimates (millions),1.24
Bahrain,2010,Population mid-year estimates for males (millions),0.77
Bahrain,2010,Population mid-year estimates for females (millions),0.47
Bahrain,2010,Sex ratio (males per 100 females),165.8
Bahrain,2010,Population aged 0 to 14 years old (percentage),20.3
Bahrain,2010,Population aged 60+ years old (percentage),3.5
Bahrain,2010,Population density,"1,632.70"
Bahrain,2015,Population mid-year estimates (millions),1.37
Bahrain,2015,Population mid-year estimates for males (millions),0.85
Bahrain,2015,Population mid-year estimates for females (millions),0.53
Bahrain,2015,Sex ratio (males per 100 females),161.3
Bahrain,2015,Population aged 0 to 14 years old (percentage),20.8
Bahrain,2015,Population aged 60+ years old (percentage),4.1
Bahrain,2015,Population density,"1,805.10"
Bahrain,2015,Surface area (thousand km2),1
Bahrain,2018,Population mid-year estimates (millions),1.57
Bahrain,2018,Population mid-year estimates for males (millions),0.99
Bahrain,2018,Population mid-year estimates for females (millions),0.57
Bahrain,2018,Sex ratio (males per 100 females),173
Bahrain,2018,Population aged 0 to 14 years old (percentage),19.2
Bahrain,2018,Population aged 60+ years old (percentage),4.9
Bahrain,2018,Population density,"2,061.80"
Bangladesh,2005,Population mid-year estimates (millions),143.43
Bangladesh,2005,Population mid-year estimates for males (millions),73.05
Bangladesh,2005,Population mid-year estimates for females (millions),70.38
Bangladesh,2005,Sex ratio (males per 100 females),103.8
Bangladesh,2005,Population aged 0 to 14 years old (percentage),34.4
Bangladesh,2005,Population aged 60+ years old (percentage),6.6
Bangladesh,2005,Population density,"1,101.90"
Bangladesh,2010,Population mid-year estimates (millions),152.15
Bangladesh,2010,Population mid-year estimates for males (millions),76.94
Bangladesh,2010,Population mid-year estimates for females (millions),75.21
Bangladesh,2010,Sex ratio (males per 100 females),102.3
Bangladesh,2010,Population aged 0 to 14 years old (percentage),32.1
Bangladesh,2010,Population aged 60+ years old (percentage),6.9
Bangladesh,2010,Population density,"1,168.80"
Bangladesh,2015,Population mid-year estimates (millions),161.2
Bangladesh,2015,Population mid-year estimates for males (millions),81.34
Bangladesh,2015,Population mid-year estimates for females (millions),79.86
Bangladesh,2015,Sex ratio (males per 100 females),101.9
Bangladesh,2015,Population aged 0 to 14 years old (percentage),29.4
Bangladesh,2015,Population aged 60+ years old (percentage),7.1
Bangladesh,2015,Population density,"1,238.40"
Bangladesh,2015,Surface area (thousand km2),148
Bangladesh,2018,Population mid-year estimates (millions),166.37
Bangladesh,2018,Population mid-year estimates for males (millions),83.86
Bangladesh,2018,Population mid-year estimates for females (millions),82.51
Bangladesh,2018,Sex ratio (males per 100 females),101.6
Bangladesh,2018,Population aged 0 to 14 years old (percentage),27.8
Bangladesh,2018,Population aged 60+ years old (percentage),7.5
Bangladesh,2018,Population density,"1,278.10"
Barbados,2005,Population mid-year estimates (millions),0.27
Barbados,2005,Population mid-year estimates for males (millions),0.13
Barbados,2005,Population mid-year estimates for females (millions),0.14
Barbados,2005,Sex ratio (males per 100 females),92.3
Barbados,2005,Population aged 0 to 14 years old (percentage),20.7
Barbados,2005,Population aged 60+ years old (percentage),15.5
Barbados,2005,Population density,637.2
Barbados,2010,Population mid-year estimates (millions),0.28
Barbados,2010,Population mid-year estimates for males (millions),0.13
Barbados,2010,Population mid-year estimates for females (millions),0.15
Barbados,2010,Sex ratio (males per 100 females),92.2
Barbados,2010,Population aged 0 to 14 years old (percentage),19.9
Barbados,2010,Population aged 60+ years old (percentage),17.3
Barbados,2010,Population density,650.2
Barbados,2015,Population mid-year estimates (millions),0.28
Barbados,2015,Population mid-year estimates for males (millions),0.14
Barbados,2015,Population mid-year estimates for females (millions),0.15
Barbados,2015,Sex ratio (males per 100 females),92
Barbados,2015,Population aged 0 to 14 years old (percentage),19.4
Barbados,2015,Population aged 60+ years old (percentage),19.8
Barbados,2015,Population density,661
Barbados,2015,Surface area (thousand km2),0
Barbados,2018,Population mid-year estimates (millions),0.29
Barbados,2018,Population mid-year estimates for males (millions),0.14
Barbados,2018,Population mid-year estimates for females (millions),0.15
Barbados,2018,Sex ratio (males per 100 females),91.8
Barbados,2018,Population aged 0 to 14 years old (percentage),18.9
Barbados,2018,Population aged 60+ years old (percentage),21.6
Barbados,2018,Population density,666
Belarus,2005,Population mid-year estimates (millions),9.62
Belarus,2005,Population mid-year estimates for males (millions),4.49
Belarus,2005,Population mid-year estimates for females (millions),5.13
Belarus,2005,Sex ratio (males per 100 females),87.5
Belarus,2005,Population aged 0 to 14 years old (percentage),15.6
Belarus,2005,Population aged 60+ years old (percentage),18.6
Belarus,2005,Population density,47.4
Belarus,2010,Population mid-year estimates (millions),9.47
Belarus,2010,Population mid-year estimates for males (millions),4.4
Belarus,2010,Population mid-year estimates for females (millions),5.07
Belarus,2010,Sex ratio (males per 100 females),86.9
Belarus,2010,Population aged 0 to 14 years old (percentage),14.8
Belarus,2010,Population aged 60+ years old (percentage),19.1
Belarus,2010,Population density,46.7
Belarus,2015,Population mid-year estimates (millions),9.49
Belarus,2015,Population mid-year estimates for males (millions),4.41
Belarus,2015,Population mid-year estimates for females (millions),5.07
Belarus,2015,Sex ratio (males per 100 females),87
Belarus,2015,Population aged 0 to 14 years old (percentage),16.1
Belarus,2015,Population aged 60+ years old (percentage),20.4
Belarus,2015,Population density,46.7
Belarus,2015,Surface area (thousand km2),208
Belarus,2018,Population mid-year estimates (millions),9.45
Belarus,2018,Population mid-year estimates for males (millions),4.4
Belarus,2018,Population mid-year estimates for females (millions),5.05
Belarus,2018,Sex ratio (males per 100 females),87
Belarus,2018,Population aged 0 to 14 years old (percentage),17
Belarus,2018,Population aged 60+ years old (percentage),21.8
Belarus,2018,Population density,46.6
Belgium,2005,Population mid-year estimates (millions),10.55
Belgium,2005,Population mid-year estimates for males (millions),5.17
Belgium,2005,Population mid-year estimates for females (millions),5.37
Belgium,2005,Sex ratio (males per 100 females),96.3
Belgium,2005,Population aged 0 to 14 years old (percentage),17.2
Belgium,2005,Population aged 60+ years old (percentage),22.1
Belgium,2005,Population density,348.3
Belgium,2010,Population mid-year estimates (millions),10.94
Belgium,2010,Population mid-year estimates for males (millions),5.37
Belgium,2010,Population mid-year estimates for females (millions),5.57
Belgium,2010,Sex ratio (males per 100 females),96.5
Belgium,2010,Population aged 0 to 14 years old (percentage),16.9
Belgium,2010,Population aged 60+ years old (percentage),23.2
Belgium,2010,Population density,361.3
Belgium,2015,Population mid-year estimates (millions),11.29
Belgium,2015,Population mid-year estimates for males (millions),5.55
Belgium,2015,Population mid-year estimates for females (millions),5.74
Belgium,2015,Sex ratio (males per 100 females),96.7
